iter	Passed	Remaining
0	2	244
1	3	160
2	3	116
3	4	98
4	5	97
5	5	87
6	6	80
7	7	83
8	7	77
9	8	72
10	8	71
11	9	69
12	9	66
13	10	64
14	11	63
15	11	61
16	12	61
17	13	60
18	13	59
19	14	57
20	15	56
21	15	55
22	16	53
23	16	52
24	17	51
25	17	50
26	18	49
27	18	47
28	19	48
29	20	47
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	34
45	28	34
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	47	13
78	48	12
79	49	12
80	49	11
81	50	11
82	50	10
83	51	9
84	51	9
85	52	8
86	53	7
87	53	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
